    Blocking waiting for file lock on build directory
    Finished `test` profile [unoptimized + debuginfo] target(s) in 7.81s
     Running tests/csharp_practical_vc.rs (target/debug/deps/csharp_practical_vc-dcf715cdb89904aa)

running 1 test
integrated structural foundation binding-vc-boundary_field: 7 operations, 6756 terms, 206 declarations, 58 transformers
integrated structural foundation binding-vc-bounded_sequence: 4 operations, 7535 terms, 224 declarations, 2110 transformers
integrated structural foundation binding-vc-instant: 0 operations, 9652 terms, 146 declarations, 71 transformers
integrated structural foundation binding-vc-lookup: 6 operations, 6639 terms, 191 declarations, 58 transformers
integrated structural foundation binding-vc-money: 10 operations, 149794 terms, 1702 declarations, 4301 transformers
integrated structural foundation binding-vc-option: 7 operations, 6652 terms, 192 declarations, 58 transformers
integrated structural foundation binding-vc-ordered_entry: 5 operations, 6243 terms, 159 declarations, 58 transformers
integrated structural foundation binding-vc-ordered_map: 27 operations, 9245 terms, 363 declarations, 2118 transformers
integrated structural foundation binding-vc-ordered_set: 10 operations, 8430 terms, 256 declarations, 2118 transformers
integrated structural foundation binding-vc-result: 7 operations, 6690 terms, 194 declarations, 58 transformers
integrated structural foundation binding-vc-transition: 4 operations, 7925 terms, 261 declarations, 2110 transformers
integrated structural foundation binding-vc-validation: 12 operations, 9045 terms, 301 declarations, 2118 transformers
integrated structural foundation bool-construction: 9 operations, 8330 terms, 343 declarations, 2110 transformers
integrated structural foundation bool-float-entry: 4 operations, 7347 terms, 153 declarations, 54 transformers
integrated structural foundation boundary-exception-empty: 0 operations, 7078 terms, 278 declarations, 58 transformers
integrated structural foundation boundary-exception-payload: 0 operations, 8670 terms, 337 declarations, 2118 transformers
integrated structural foundation boundary-map-compound: 27 operations, 11422 terms, 433 declarations, 2126 transformers
integrated structural foundation boundary-map-decimal: 27 operations, 47283 terms, 704 declarations, 2462 transformers
integrated structural foundation boundary-map-string: 27 operations, 11218 terms, 416 declarations, 2126 transformers
integrated structural foundation boundary-set-decimal: 10 operations, 46410 terms, 597 declarations, 2462 transformers
integrated structural foundation boundary-total-cells: 11 operations, 8885 terms, 354 declarations, 2110 transformers
integrated structural foundation complete-snapshot: 9 operations, 53030 terms, 706 declarations, 2519 transformers
integrated structural foundation construction-vc-enum_zero: 0 operations, 3289 terms, 78 declarations, 18 transformers
integrated structural foundation construction-vc-positive_constructor: 0 operations, 6161 terms, 139 declarations, 58 transformers
integrated structural foundation date: 0 operations, 3144 terms, 64 declarations, 15 transformers
integrated structural foundation enum-construction: 9 operations, 9112 terms, 372 declarations, 2110 transformers
integrated structural foundation exception-vc-allowed: 0 operations, 6997 terms, 257 declarations, 58 transformers
integrated structural foundation extra-bool-float-map: 22 operations, 10170 terms, 365 declarations, 2130 transformers
integrated structural foundation extra-bool-nullable-map: 34 operations, 9748 terms, 411 declarations, 2118 transformers
integrated structural foundation extra-lookup-nullable: 13 operations, 7057 terms, 231 declarations, 58 transformers
integrated structural foundation extra-shared-lookup-maps: 48 operations, 10164 terms, 490 declarations, 2118 transformers
integrated structural foundation extra-validation-bool: 12 operations, 8524 terms, 281 declarations, 2118 transformers
integrated structural foundation extra-validation-product: 12 operations, 9360 terms, 328 declarations, 2118 transformers
integrated structural foundation float-sequence: 8 operations, 10146 terms, 386 declarations, 2122 transformers
integrated structural foundation floats: 0 operations, 10756 terms, 214 declarations, 127 transformers
integrated structural foundation guid: 0 operations, 11765 terms, 139 declarations, 76 transformers
integrated structural foundation nested-box: 16 operations, 9844 terms, 446 declarations, 2110 transformers
integrated structural foundation nullable-float: 6 operations, 7523 terms, 159 declarations, 54 transformers
integrated structural foundation nullable-string-default: 16 operations, 11526 terms, 476 declarations, 2118 transformers
integrated structural foundation parse-error-contract: 0 operations, 6259 terms, 170 declarations, 73 transformers
integrated structural foundation product-construction: 9 operations, 9147 terms, 386 declarations, 2110 transformers
integrated structural foundation string: 7 operations, 10080 terms, 409 declarations, 2118 transformers
integrated structural foundation unit-void-source: 7 operations, 6647 terms, 200 declarations, 58 transformers
test ordinary_carriers::structural_foundation_tests::csharp_03_t06_w09_structural_foundation_original_sources has been running for over 60 seconds
integrated structural foundation shared-string-enum-money: 20 operations, 150320 terms, 1780 declarations, 4301 transformers
test ordinary_carriers::structural_foundation_tests::csharp_03_t06_w09_structural_foundation_original_sources ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 159 filtered out; finished in 66.21s

