
running 1 test
test ordinary_carriers::literal_tests::decimal_fixed_format_tests::csharp_03_t06_w09_decimal_fixed_formats_original_sources ... decimal format source binding-vc-money: 34535 terms
decimal format source boundary-map-decimal: 34535 terms
decimal format source boundary-set-decimal: 34535 terms
decimal format source complete-snapshot: 34535 terms
decimal format source literal-decimal: 34535 terms
decimal format source literal-product: 34535 terms
decimal fixed ToEven target 0: sign=false, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToEven target 0: sign=false, scale=1, coefficient=25
decimal fixed ToEven target 0: sign=false, scale=1, coefficient=35
decimal fixed ToEven target 0: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 0: sign=false, scale=3, coefficient=2501
decimal fixed ToEven target 0: sign=false, scale=28, coefficient=1
decimal fixed ToEven target 0: sign=false, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToEven target 0: sign=true, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToEven target 0: sign=true, scale=1, coefficient=25
decimal fixed ToEven target 0: sign=true, scale=1, coefficient=35
decimal fixed ToEven target 0: sign=true, scale=2, coefficient=125
decimal fixed ToEven target 0: sign=true, scale=3, coefficient=2501
decimal fixed ToEven target 0: sign=true, scale=28, coefficient=0
decimal fixed ToEven target 0: sign=true, scale=28, coefficient=1
decimal fixed ToEven target 0: sign=true, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToEven target 1: sign=false, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToEven target 1: sign=false, scale=1, coefficient=25
decimal fixed ToEven target 1: sign=false, scale=1, coefficient=35
decimal fixed ToEven target 1: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 1: sign=false, scale=3, coefficient=2501
decimal fixed ToEven target 1: sign=false, scale=28, coefficient=1
decimal fixed ToEven target 1: sign=false, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToEven target 1: sign=true, scale=0, coefficient=79228162514264337593543950335
decimal fixed ToEven target 1: sign=true, scale=1, coefficient=25
decimal fixed ToEven target 1: sign=true, scale=1, coefficient=35
decimal fixed ToEven target 1: sign=true, scale=2, coefficient=125
decimal fixed ToEven target 1: sign=true, scale=3, coefficient=2501
decimal fixed ToEven target 1: sign=true, scale=28, coefficient=0
decimal fixed ToEven target 1: sign=true, scale=28, coefficient=1
decimal fixed ToEven target 1: sign=true, scale=28, coefficient=79228162514264337593543950335
decimal fixed ToEven target 2: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 3: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 4: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 5: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 6: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 7: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 8: sign=false, scale=2, coefficient=125
decimal fixed ToEven target 9: sign=false, scale=2, coefficient=125
