
running 1 test
test ordinary_carriers::projection_tests::binding_relation_tests::csharp_03_t06_w09_binding_relations_original_source_certificates ... binding relations binding-vc-boundary_field: 8 predicates, 1 agreements, 3650 terms
binding relations binding-vc-bounded_sequence: 7 predicates, 1 agreements, 4208 terms
binding relations binding-vc-instant: 5 predicates, 1 agreements, 7353 terms
binding relations binding-vc-lookup: 7 predicates, 1 agreements, 3596 terms
binding relations binding-vc-money: 9 predicates, 1 agreements, 41841 terms
binding relations binding-vc-option: 7 predicates, 1 agreements, 3596 terms
binding relations binding-vc-ordered_entry: 7 predicates, 1 agreements, 3418 terms
binding relations binding-vc-ordered_map: 14 predicates, 2 agreements, 4516 terms
binding relations binding-vc-ordered_set: 7 predicates, 1 agreements, 4327 terms
binding relations binding-vc-result: 8 predicates, 1 agreements, 3666 terms
binding relations binding-vc-transition: 10 predicates, 1 agreements, 4362 terms
binding relations binding-vc-validation: 10 predicates, 1 agreements, 4544 terms
binding relations bool-construction: 4 predicates, 0 agreements, 4135 terms
binding relations bool-float-entry: 7 predicates, 1 agreements, 3284 terms
binding relations boundary-exception-empty: 1 predicates, 0 agreements, 895 terms
binding relations boundary-exception-payload: 1 predicates, 0 agreements, 895 terms
binding relations boundary-map-compound: 15 predicates, 2 agreements, 5966 terms
binding relations boundary-map-decimal: 15 predicates, 2 agreements, 41010 terms
binding relations boundary-map-string: 15 predicates, 2 agreements, 5926 terms
binding relations boundary-set-decimal: 8 predicates, 1 agreements, 40786 terms
binding relations boundary-total-cells: 5 predicates, 0 agreements, 3536 terms
binding relations complete-snapshot: 4 predicates, 0 agreements, 3235 terms
binding relations construction-vc-enum_zero: 1 predicates, 0 agreements, 895 terms
binding relations construction-vc-positive_constructor: 1 predicates, 0 agreements, 895 terms
binding relations date: 1 predicates, 0 agreements, 895 terms
binding relations enum-construction: 5 predicates, 0 agreements, 4135 terms
binding relations exception-vc-allowed: 1 predicates, 0 agreements, 895 terms
binding relations extra-bool-float-map: 14 predicates, 2 agreements, 4310 terms
binding relations extra-bool-nullable-map: 15 predicates, 2 agreements, 4603 terms
binding relations extra-lookup-nullable: 8 predicates, 1 agreements, 3673 terms
binding relations extra-shared-lookup-maps: 24 predicates, 4 agreements, 4786 terms
binding relations extra-validation-bool: 10 predicates, 1 agreements, 4524 terms
binding relations extra-validation-product: 11 predicates, 1 agreements, 4578 terms
binding relations float-sequence: 4 predicates, 0 agreements, 3990 terms
binding relations floats: 1 predicates, 0 agreements, 895 terms
binding relations guid: 1 predicates, 0 agreements, 895 terms
binding relations nested-box: 6 predicates, 0 agreements, 4228 terms
binding relations nullable-float: 3 predicates, 0 agreements, 3235 terms
binding relations nullable-string-default: 7 predicates, 0 agreements, 5487 terms
binding relations parse-error-contract: 1 predicates, 0 agreements, 895 terms
binding relations product-construction: 5 predicates, 0 agreements, 4164 terms
binding relations string: 4 predicates, 0 agreements, 5285 terms
binding relations unit-void-source: 4 predicates, 0 agreements, 3392 terms
binding relations remapped-boundary-sequence: 15 predicates, 2 agreements, 9005 terms
binding relations float-make-commutation: 9 predicates, 3 agreements, 3292 terms
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 368 filtered out; finished in 118.10s

